gene_id	padj	log2FoldChange	probesetID
AT3G54400	0.000000108	-3.52	251899_at
AT3G46530	0.032405991	-1.28	252485_at
AT1G53280	0.041965122	1.198074317	260616_at
AT1G03840	0.015689158	-1.38	265081_at
AT4G12410	0.00202838	-1.65	254809_at
AT2G16720	0.000131513	-2.81	265359_at
AT3G15650	0.000000173	4.074146468	258270_at
AT4G25630	0.034517852	-1.24	254080_at
AT3G51450	0.012814424	1.296558378	252114_at
AT1G27930	0.032196695	1.352049061	259588_at
AT1G30530	0.039265803	1.275897805	261804_at
AT5G58390	0.00000388	-2.27	247812_at
AT3G61090	0.017370364	1.379206312	251354_at
AT3G17380	0.008574065	-1.54	258414_at
AT3G03770	0.045318248	-1.44	259348_at
AT4G25750	0.000172896	-2.52	254022_at
AT5G03790	0.0000131	2.229885729	250915_at
AT2G01850	0.046807703	1.26263128	263598_at
AT4G18020	0.002461271	-1.42	254704_at
AT5G44580	0.001314153	-1.55	249010_at
AT4G01610	0.00341101	-1.45	255590_at
AT3G61890	0.000310515	-1.79	251272_at
AT3G17120	0.005031802	-1.54	257875_at
AT3G57860	0.040067542	1.366253373	251608_at
AT5G14760	0.00000044	8.581237192	246597_at
AT3G48100	0.00009	2.282284459	252374_at
AT5G40410	0.049873553	1.337759487	249412_at
AT3G54640	0.04355026	-1.31	251847_at
AT3G19260	0.001054847	-1.43	257038_at
AT2G42600	0.015898291	-1.29	263491_at
AT1G20300	0.019179317	-1.29	255888_at
AT4G18050	0.000585846	-1.84	254710_at
AT1G32640	0.004270132	1.405840123	261713_at
AT5G24800	0.004776741	1.444057937	246962_s_at
AT1G14580	0.0000778	-2.18	260776_at
AT4G00820	0.000749015	-1.82	255642_at
AT1G68650	0.01801502	1.362107106	262277_at
AT1G08180	0.024355438	-1.32	261817_at
AT3G23430	0.00000434	-2.44	258293_at
AT5G07030	0.000000431	-2.75	250661_at
AT5G54190	0.000784566	-1.77	248197_at
AT5G54230	0.021197974	-1.32	248203_at
AT5G14940	0.000000843	-6.07	246566_at
AT4G18460	0.004501669	1.37473943	254676_at
AT4G08690	0.021286995	1.346441683	255103_at
AT5G63630	0.023395991	1.368844191	247335_at
AT1G76380	0.000519441	1.608752206	259885_at
AT1G47400	0.000000217	-3.29	261684_at
AT1G05470	0.022501977	-1.51	261382_at
AT3G03990	0.033641407	1.504518206	258811_at
AT4G27060	0.024283182	1.362314579	253923_at
AT4G22010	0.002028291	-1.66	254363_at
AT2G46910	0.030303996	1.295662698	266767_at
AT5G64110	0.006115256	-1.49	247326_at
AT1G03090	0.000700745	1.469644153	263118_at
AT1G27030	0.009081289	1.472175051	264987_at
AT5G07130	0.041425392	1.467873273	250674_at
AT2G42320	0.000542084	-1.54	265884_at
AT3G47540	0.00000328	-4.25	252421_at
AT3G47010	0.013965429	1.405598751	252446_at
AT1G14920	0.003809189	-1.55	262850_at
AT4G38630	0.031769475	1.275117059	252955_at
AT1G52410	0.002160722	-1.44	259609_at
AT3G28200	0.034776867	1.319387176	256578_at
AT1G24210	0.029013687	1.318460865	264870_at
AT1G68010	0.010613362	1.286461374	260014_at
AT1G56430	0.00000072	-3.44	259632_at
AT5G28290	0.014519299	-1.37	245859_at
AT4G14020	0.0000696	-1.98	245385_at
AT3G27925	0.039635899	1.269780762	257222_at
AT2G26890	0.042243118	1.284992533	266858_at
AT3G62370	0.020235276	1.258102273	251270_at
AT1G74370	0.010044921	1.389129624	260229_at
AT2G38760	0.008494001	1.484562038	266419_at
AT1G04310	0.00000123	-2.9	263653_at
AT2G38010	0.005473195	-1.51	266089_at
AT5G16970	0.003400165	2.064533159	246463_at
AT5G12480	0.03005392	-1.22	245156_at
AT5G14530	0.015470611	1.381015605	250148_at
AT3G43670	0.000399561	1.521933337	252698_at
AT3G61970	0.000403571	-1.66	251302_at
AT1G61820	0.000609813	-1.69	264280_at
AT1G33700	0.000837962	1.481565881	261991_at
AT3G45780	0.000240572	-1.58	252543_at
AT2G27550	6.38E-08	-13.9	266209_at
AT2G36080	0.008446057	-1.61	263963_at
AT1G01060	0.009764672	1.336819337	261569_at
AT1G18690	0.043366479	1.480634009	261404_at
AT3G08030	0.00000603	-1.98	258641_at
AT3G22420	0.001063184	-1.97	258456_at
AT4G38540	0.019339389	-1.3	252993_at
AT3G43920	0.0016269	1.432741536	252716_at
AT1G22650	0.014083739	-1.38	264200_at
AT5G61790	0.024015893	-1.24	247494_at
AT5G17700	0.001114257	-1.64	250045_at
AT4G16240	0.00419058	-1.47	245486_x_at
AT4G18290	0.00000212	-4.1	254663_at
AT1G78970	0.0000094	-3.16	264100_at
AT1G02260	0.026664141	1.445683658	264170_at
AT4G03100	0.008572275	1.30728611	255410_at
AT1G67750	0.026217297	1.379818628	245196_at
AT5G44240	0.030214989	-1.28	249089_at
AT3G20460	0.014598202	-1.4	257668_at
AT2G22390	0.003954986	1.387985508	264049_at
AT1G76130	0.045101922	1.508775117	261754_at
AT1G76420	0.012386318	1.436462775	259972_at
AT1G17340	0.009976595	1.644188983	261060_at
AT4G02410	0.009974911	-1.47	255502_at
AT1G16340	0.047786271	1.299592823	262753_at
AT3G25190	0.000028	-2.22	257823_at
AT3G17810	0.027281078	1.299247602	258162_at
AT4G14410	0.002640993	-1.39	245331_at
AT4G31920	0.002656648	-1.5	253500_at
AT5G13750	0.0000152	-2.24	250252_at
AT5G13280	0.015036165	-1.29	250291_at
AT5G62210	0.01547275	1.303730836	247463_at
AT4G37310	0.000781005	-1.71	253052_at
AT2G20390	0.036525513	1.369562225	265258_at
AT3G16370	0.007756024	-1.69	259375_at
AT1G64220	0.017837015	1.381183242	262336_at
AT1G20270	0.012814424	1.301407383	255883_at
AT3G07970	0.003257713	-1.6	258631_at
AT1G10970	0.029826365	1.547036722	260462_at
AT3G05060	0.024360578	-1.27	259311_at
AT3G01840	0.0000855	-1.85	259004_at
AT1G79310	0.009261757	1.478217016	264145_at
AT5G45280	0.00204697	-1.56	248968_at
AT5G12080	0.0000408	1.934578684	250326_at
AT4G38840	0.040353421	-1.36	252972_at
AT2G38480	0.000816719	1.669547053	267038_at
AT1G10390	0.047204067	1.359515632	264456_at
AT5G14700	0.029445431	-1.55	250149_at
AT1G56060	0.010572537	-2.03	262085_at
AT5G08000	0.0000329	-1.9	250565_at
AT2G31160	0.007013293	1.437882815	266479_at
AT3G27660	0.0000048	-4.95	258240_at
AT4G24060	0.000746991	-1.54	254207_at
AT1G33060	0.023973806	1.43230224	261616_at
AT3G11410	0.000108732	1.782981406	259231_at
AT1G73330	0.03755367	1.274172377	245736_at
AT1G33170	0.00000363	-2.63	261593_at
AT2G05620	0.011686354	1.290357032	265569_at
AT1G11600	0.008997494	-1.56	262819_at
AT3G61620	0.038798688	-1.22	251288_at
AT2G35510	0.04522147	-1.25	266609_at
AT1G21310	0.0000409	-2.7	259553_x_at
AT3G58780	0.004677337	-1.62	251555_at
AT1G48000	0.02867681	-1.44	259618_at
AT2G39420	0.027812698	1.36899782	266977_at
AT1G49750	0.016737133	-1.35	261598_at
AT1G14700	0.0000901	-1.89	262830_at
AT1G59580	0.047516495	1.311053798	262076_at
AT5G25440	0.029080171	1.3675146	246943_at
AT5G01015	0.004119287	1.374991945	251142_at
AT1G43580	0.04564249	1.189287429	262725_at
AT1G77670	0.000204991	-1.59	259710_at
AT5G67330	0.020636242	-1.27	247001_at
AT4G27260	0.000643323	-1.84	253908_at
AT5G67480	0.017260206	1.431869894	247013_at
AT5G60300	0.013064984	1.362394207	247626_at
AT2G23680	0.0000439	-2.43	267288_at
AT1G55805	0.017070013	1.321482758	264546_at
AT4G36110	0.025493228	-1.55	253103_at
AT5G15740	0.00011144	-1.98	246516_at
AT3G50340	0.003297438	-1.36	252204_at
AT5G56230	0.048755833	1.416243471	248004_at
AT1G58180	0.000290403	1.757283142	246396_at
AT1G67560	0.045578306	1.311329709	260190_at
AT5G67150	0.010509071	1.449299275	247040_at
AT3G50210	0.042140936	1.221777716	252213_at
AT1G63020	0.030214872	-1.5	261100_at
AT3G21700	0.000041	-2.75	257951_at
AT4G18890	0.003696518	-1.77	254610_at
AT3G24450	0.0000063	-3.1	256621_at
AT2G43200	0.010548922	-1.35	266439_s_at
AT1G26770	0.00000201	-3.34	261266_at
AT5G06530	0.000000596	-3.53	250690_at
AT5G02890	0.001203726	1.38379485	250968_at
AT1G15960	0.002779597	-1.72	261845_at
AT2G33130	0.000927037	-2.16	245158_at
AT5G01200	0.000213551	-1.91	251132_at
AT1G31310	0.000401302	-1.75	262550_at
AT1G23730	0.000108955	-1.88	265170_at
AT3G28220	0.000196948	-1.95	256577_at
AT1G34110	0.035895153	-1.34	256030_at
AT3G06590	0.00000154	-2.48	258511_at
AT5G20900	0.003235003	1.404743778	246161_at
AT5G62680	0.002399627	-1.44	247440_at
AT4G12890	0.0000106	-2.61	254786_at
AT3G13450	0.03228228	1.251197022	256965_at
AT1G71870	0.017883366	1.383620381	261514_at
AT1G24090	0.00191888	1.606450368	264868_at
AT1G60130	0.010551874	1.349175853	264278_at
AT1G53070	0.0000148	-1.87	261368_at
AT5G57910	0.0000258	2.530591685	247835_at
AT3G25220	0.042210756	-1.26	257820_at
AT4G34750	0.00000739	-2.33	253253_at
AT3G45230	0.017052298	1.646306607	252615_at
AT5G66850	0.002823534	1.502612774	247044_at
AT1G27130	0.02329145	-1.28	264986_at
